[@0,0:4='class',<4>,1:0]
[@1,6:12='Program',<5>,1:6]
[@2,15:15='{',<27>,2:0]
[@3,18:20='int',<19>,3:1]
[@4,22:22='x',<20>,3:5]
[@5,23:23='[',<29>,3:6]
[@6,24:25='10',<16>,3:7]
[@7,26:26=']',<30>,3:9]
[@8,27:27=',',<33>,3:10]
[@9,29:29='y',<20>,3:12]
[@10,30:30='[',<29>,3:13]
[@11,31:32='10',<16>,3:14]
[@12,33:33=']',<30>,3:16]
[@13,34:34=';',<31>,3:17]
[@14,37:39='int',<19>,4:1]
[@15,41:43='top',<20>,4:5]
[@16,45:45='=',<22>,4:9]
[@17,47:47='0',<16>,4:11]
[@18,48:48=';',<31>,4:12]
[@19,51:57='boolean',<19>,5:1]
[@20,59:63='empty',<20>,5:9]
[@21,65:65='=',<22>,5:15]
[@22,67:70='true',<18>,5:17]
[@23,71:71=';',<31>,5:21]
[@24,75:78='void',<20>,7:1]
[@25,80:90='input_point',<20>,7:6]
[@26,91:91='(',<25>,7:17]
[@27,92:92=')',<26>,7:18]
[@28,95:95='{',<27>,8:1]
[@29,99:101='int',<19>,9:2]
[@30,103:104='x0',<20>,9:6]
[@31,105:105=',',<33>,9:8]
[@32,107:108='y0',<20>,9:10]
[@33,109:109=';',<31>,9:12]
[@34,114:115='x0',<20>,11:2]
[@35,117:117='=',<22>,11:5]
[@36,119:128='user_input',<20>,11:7]
[@37,129:129='(',<25>,11:17]
[@38,130:130=')',<26>,11:18]
[@39,131:131=';',<31>,11:19]
[@40,135:136='y0',<20>,12:2]
[@41,138:138='=',<22>,12:5]
[@42,140:149='user_input',<20>,12:7]
[@43,150:150='(',<25>,12:17]
[@44,151:151=')',<26>,12:18]
[@45,152:152=';',<31>,12:19]
[@46,157:157='x',<20>,14:2]
[@47,158:158='[',<29>,14:3]
[@48,159:161='top',<20>,14:4]
[@49,162:162=']',<30>,14:7]
[@50,164:164='=',<22>,14:9]
[@51,166:167='x0',<20>,14:11]
[@52,168:168=';',<31>,14:13]
[@53,172:172='y',<20>,15:2]
[@54,173:173='[',<29>,15:3]
[@55,174:176='top',<20>,15:4]
[@56,177:177=']',<30>,15:7]
[@57,179:179='=',<22>,15:9]
[@58,181:182='y0',<20>,15:11]
[@59,183:183=';',<31>,15:13]
[@60,188:190='top',<20>,17:2]
[@61,192:192='=',<22>,17:6]
[@62,194:196='top',<20>,17:8]
[@63,197:197='+',<23>,17:11]
[@64,198:198='1',<16>,17:12]
[@65,199:199=';',<31>,17:13]
[@66,202:202='}',<28>,18:1]
[@67,206:209='void',<20>,20:1]
[@68,211:219='rectangle',<20>,20:6]
[@69,220:220='(',<25>,20:15]
[@70,221:221=')',<26>,20:16]
[@71,224:224='{',<27>,21:1]
[@72,228:230='int',<19>,22:2]
[@73,232:236='count',<20>,22:6]
[@74,237:237=';',<31>,22:11]
[@75,242:244='for',<9>,24:2]
[@76,246:250='count',<20>,24:6]
[@77,252:252='=',<22>,24:12]
[@78,254:254='1',<16>,24:14]
[@79,255:255=',',<33>,24:15]
[@80,257:257='4',<16>,24:17]
[@81,261:261='{',<27>,25:2]
[@82,266:276='input_point',<20>,26:3]
[@83,277:277='(',<25>,26:14]
[@84,278:278=')',<26>,26:15]
[@85,279:279=';',<31>,26:16]
[@86,284:285='if',<7>,27:3]
[@87,287:287='(',<25>,27:6]
[@88,288:292='count',<20>,27:7]
[@89,294:294='<',<21>,27:13]
[@90,296:296='0',<16>,27:15]
[@91,297:297=')',<26>,27:16]
[@92,302:302='{',<27>,28:3]
[@93,308:315='continue',<12>,29:4]
[@94,316:316=';',<31>,29:12]
[@95,321:321='}',<28>,30:3]
[@96,325:325='}',<28>,31:2]
[@97,332:336='empty',<20>,33:2]
[@98,338:338='=',<22>,33:8]
[@99,340:344='false',<18>,33:10]
[@100,345:345=';',<31>,33:15]
[@101,348:348='}',<28>,34:1]
[@102,353:356='void',<20>,36:1]
[@103,358:370='input_polygon',<20>,36:6]
[@104,371:371='(',<25>,36:19]
[@105,372:372=')',<26>,36:20]
[@106,375:375='{',<27>,37:1]
[@107,379:385='callout',<13>,38:2]
[@108,387:387='(',<25>,38:10]
[@109,389:395='display',<20>,38:12]
[@110,396:396=',',<33>,38:19]
[@111,398:416='" Max points = 10 "',<3>,38:21]
[@112,417:417=')',<26>,38:40]
[@113,418:418=';',<31>,38:41]
[@114,425:431='boolean',<19>,40:2]
[@115,433:442='input_more',<20>,40:10]
[@116,444:444='=',<22>,40:21]
[@117,446:449='true',<18>,40:23]
[@118,450:450=';',<31>,40:27]
[@119,455:457='for',<9>,42:2]
[@120,459:463='count',<20>,42:6]
[@121,465:465='=',<22>,42:12]
[@122,467:467='1',<16>,42:14]
[@123,468:468=',',<33>,42:15]
[@124,470:471='10',<16>,42:17]
[@125,475:475='{',<27>,43:2]
[@126,480:490='input_point',<20>,44:3]
[@127,491:491='(',<25>,44:14]
[@128,492:492=')',<26>,44:15]
[@129,493:493=';',<31>,44:16]
[@130,502:503='if',<7>,46:3]
[@131,505:505='(',<25>,46:6]
[@132,507:511='count',<20>,46:8]
[@133,513:514='>=',<21>,46:14]
[@134,516:517='10',<16>,46:17]
[@135,518:518=')',<26>,46:19]
[@136,523:523='{',<27>,47:3]
[@137,529:533='break',<11>,48:4]
[@138,534:534=';',<31>,48:9]
[@139,539:539='}',<28>,49:3]
[@140,544:547='else',<8>,50:3]
[@141,552:552='{',<27>,51:3]
[@142,559:565='callout',<13>,52:4]
[@143,566:566='(',<25>,52:11]
[@144,568:574='display',<20>,52:13]
[@145,575:575=',',<33>,52:20]
[@146,577:602='" Enter more points (0/1)"',<3>,52:22]
[@147,603:603=')',<26>,52:48]
[@148,604:604=';',<31>,52:49]
[@149,610:619='input_more',<20>,53:4]
[@150,621:621='=',<22>,53:15]
[@151,623:639='get_boolean_input',<20>,53:17]
[@152,640:640='(',<25>,53:34]
[@153,641:641=')',<26>,53:35]
[@154,642:642=';',<31>,53:36]
[@155,649:650='if',<7>,55:4]
[@156,652:652='(',<25>,55:7]
[@157,653:662='input_more',<20>,55:8]
[@158,664:665='==',<21>,55:19]
[@159,667:671='false',<18>,55:22]
[@160,672:672=')',<26>,55:27]
[@161,678:678='{',<27>,56:4]
[@162,685:689='break',<11>,57:5]
[@163,690:690=';',<31>,57:10]
[@164,696:696='}',<28>,58:4]
[@165,701:701='}',<28>,59:3]
[@166,705:705='}',<28>,60:2]
[@167,709:709='}',<28>,62:1]
[@168,712:712='}',<28>,64:0]
[@169,714:713='<EOF>',<-1>,65:0]
